Date,Date_Reported,Holder,pctHeld,Shares,Value,pctChange
1970-01-01 00:00:00.000000000,2026-03-31,Blackrock Inc.,0.0796,1925533174,409079516940,-0.0094
1970-01-01 00:00:00.000000001,2026-03-31,Vanguard Capital Management LLC,0.0636,1538550382,326865023960,1.0
1970-01-01 00:00:00.000000002,2026-03-31,State Street Corporation,0.041100003,993885601,211150992899,0.0023999999
1970-01-01 00:00:00.000000003,2026-03-31,"FMR, LLC",0.041100003,993852968,211144060018,0.0235
1970-01-01 00:00:00.000000004,2026-03-31,"Geode Capital Management, LLC",0.0248,601327167,127751954794,0.021300001
1970-01-01 00:00:00.000000005,2026-03-31,Vanguard Portfolio Management LLC,0.0211,510126721,108376420319,1.0
1970-01-01 00:00:00.000000006,2026-03-31,JPMORGAN CHASE & CO,0.0185,447798884,95134871539,-0.0183
1970-01-01 00:00:00.000000007,2026-03-31,Price (T.Rowe) Associates Inc,0.0153,370102688,78628314936,-0.0083
1970-01-01 00:00:00.000000008,2026-03-31,Morgan Stanley,0.014199999,342954346,72860649761,0.0594
1970-01-01 00:00:00.000000009,2026-03-31,Northern Trust Corporation,0.0104,252741836,53695002286,-0.0041
