Date,Date_Reported,Holder,pctHeld,Shares,Value,pctChange
1970-01-01 00:00:00.000000000,2026-03-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.030299999,733080870,155743028594,0.0105
1970-01-01 00:00:00.000000001,2026-03-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0255,617520783,131192288463,0.0078
1970-01-01 00:00:00.000000002,2026-04-30,iShares Trust-iShares Core S&P 500 ETF,0.012999999,314310367,66775236509,0.0057
1970-01-01 00:00:00.000000003,2026-04-30,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0128999995,311401045,66157151059,0.0034999999
1970-01-01 00:00:00.000000004,2026-04-30,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.012,290372657,61689670093,0.0256
1970-01-01 00:00:00.000000005,2026-03-31,VANGUARD INDEX FUNDS-Vanguard Growth Index Fund,0.01,242721072,51566091005,0.0078
1970-01-01 00:00:00.000000006,2026-04-30,"Invesco QQQ Trust, Series 1",0.0078,188396298,40024792935,0.016
1970-01-01 00:00:00.000000007,2026-03-31,VANGUARD INSTITUTIONAL INDEX FUNDS-Vanguard Institutional Index Fund,0.0057,137012483,29108301595,-0.0175
1970-01-01 00:00:00.000000008,2026-02-28,VANGUARD WORLD FUND-Vanguard Information Technology Index Fund,0.0052,125529571,26668756975,0.0252
1970-01-01 00:00:00.000000009,2026-03-31,GROWTH FUND OF AMERICA,0.0044,106060680,22532591142,-0.0553
